correct_sentence,incorrect_sentence
سبا__۳۷_rn_ترجمہ__اور_اے_لوگو___نہ_تمہارے_مال_اور_نہ_تمہاری_اولاد_ایسی_چیزیں_ہیں_جو_تم_کو_ہمارا_مقرب_کر_دیں_ہاں__جو_شخص_ایمان_لایا_اور_اس_نے_نیک_عمل_کئے,سبا__۳۷_rn_ترجمہ__اور_اے_لوگو___نہ_تمہارے_مال_اور_نہ_تمہاری_اولاد_ایسی_چیزیں_ہیں_جو_تم_کو_ہمارا_مقرب_کردیں_ہاں__جو_شخص_ایمان_لایا_اور_اس_نے_نیک_عمل_کئے
اس_سے_نہ_نشہ_آئے_گا_اور_نہ_سر_میں_درد_ہو_گا,اس_سے_نہ_نشہ_آئے_گا_اور_نہ_سر_میں_درد_ہوگا
rn_ان_آیات_میں_ایک_بات_یہ_فرمائی_گئی_کہ_جب_کچھ_عورتیں_دار_الحرب_سے_ہجرت_کر_کے_آئیں_تو_ان_کے_حالات_کو_جانچ_لیا_جائے,rn_ان_آیات_میں_ایک_بات_یہ_فرمائی_گئی_کہ_جب_کچھ_عورتیں_دار_الحرب_سے_ہجرت_کرکے_آئیں_تو_ان_کے_حالات_کو_جانچ_لیا_جائے
لہذا_ایسے_شریک_نہ_خود_الہ_ہو_سکتے_ہیں_اور_نہ_صفات_الوہیت_میں_اللہ_کے_شریک_بن_سکتے_ہیں,لہذا_ایسے_شریک_نہ_خود_الہ_ہوسکتے_ہیں_اور_نہ_صفات_الوہیت_میں_اللہ_کے_شریک_بن_سکتے_ہیں
بیشک_اوائل_میں_اس_مینڈے_کا_سر_اس_کے_دو_سینگوں_کے_ساتھ_میزاب_کعبہ_کے_ساتھ_لٹکا_ہوا_تھا_اور_اس_کا_سر_سوکھ_کر_خشک_ہو_چکا_تھا,بیشک_اوائل_میں_اس_مینڈے_کا_سر_اس_کے_دو_سینگوں_کے_ساتھ_میزاب_کعبہ_کے_ساتھ_لٹکا_ہوا_تھا_اور_اس_کا_سر_سوکھ_کر_خشک_ہوچکا_تھا
ان_چیزوں_میں_سے_کوئی_نہ_کوئی_چیز_حرام_دی_جاتی_تھی_جو_ان_کے_لیے_حلال_تھیں_سورۃ_انعام_میں_بعض_ان_چیزوں_کا_ذکر_ہے_جو_ان_پر_حرام_کر_دی_گئی_تھیں_وہاں_ان_کے_بیان_کرنے_کے_بعد_فرمایا_ہے,ان_چیزوں_میں_سے_کوئی_نہ_کوئی_چیز_حرام_دی_جاتی_تھی_جو_ان_کے_لیے_حلال_تھیں_سورۃ_انعام_میں_بعض_ان_چیزوں_کا_ذکر_ہے_جو_ان_پر_حرام_کردی_گئی_تھیں_وہاں_ان_کے_بیان_کرنے_کے_بعد_فرمایا_ہے
تفسیر_درمنثور_صفحہ_۱۱۸_ج_۲_میں_بخاری_وغیرہ_سے_نقل_کیا_ہے_کہ_عروہ_بن_زبیر_نے_حضرت_عائشہ_سے_اس_آیت_کے_بارے_میں_سوال_کیا_تو_انہوں_نے_فرمایا_کہ_اے_میری_بہن_کے_بیٹے_اس_آیت_میں_ایسی_یتیم_بچیوں_کا_ذکر_ہے_جن_کا_باپ_فوت_ہو_جاتا_تھا_اور_جو_مال_میراث_میں_ملتا_وہ_اس_بچی_اور_اس_کے_ولی_کا_مال_مشترک_ہوتا_تھا,تفسیر_درمنثور_صفحہ_۱۱۸_ج_۲_میں_بخاری_وغیرہ_سے_نقل_کیا_ہے_کہ_عروہ_بن_زبیر_نے_حضرت_عائشہ_سے_اس_آیت_کے_بارے_میں_سوال_کیا_تو_انہوں_نے_فرمایا_کہ_اے_میری_بہن_کے_بیٹے_اس_آیت_میں_ایسی_یتیم_بچیوں_کا_ذکر_ہے_جن_کا_باپ_فوت_ہوجاتا_تھا_اور_جو_مال_میراث_میں_ملتا_وہ_اس_بچی_اور_اس_کے_ولی_کا_مال_مشترک_ہوتا_تھا
یوں_دین_پر_ان_کی_استقامت_ختم_ہو_گئی_اور_ان_سے_محافظین_دین_کا_منصب_چلا_گیا_اور_وہ_اسی_طرح_ٹیڑھی_راہ_اور_گمراہی_پر_رہے,یوں_دین_پر_ان_کی_استقامت_ختم_ہوگئی_اور_ان_سے_محافظین_دین_کا_منصب_چلا_گیا_اور_وہ_اسی_طرح_ٹیڑھی_راہ_اور_گمراہی_پر_رہے
rn_اس_سے_مراد_وہ_مسلمان_ہیں_جو_اپنی_کمزوری_کی_وجہ_سے_ہجرت_کرکے_مدینہ_نہیں_جا_سکتے_تھے_اور_مکہ_کے_وسط_میں_رہتے_تھے,rn_اس_سے_مراد_وہ_مسلمان_ہیں_جو_اپنی_کمزوری_کی_وجہ_سے_ہجرت_کرکے_مدینہ_نہیں_جاسکتے_تھے_اور_مکہ_کے_وسط_میں_رہتے_تھے
اس_وقت_تک_اس_کے_اقرار_اسلام_کو_صحیح_قرار_دے_کر_اس_کو_مسلمان_کہا_جائے_گا_اور_اس_کے_ساتھ_مسلمانوں_کا_سا_معاملہ_کیا_جائے_اس_کی_قلبی_کیفیات_اخلاص_یا_نفاق_سے_بحث_کرنے_کا_کسی_کو_حق_نہ_ہو_گا,اس_وقت_تک_اس_کے_اقرار_اسلام_کو_صحیح_قرار_دے_کر_اس_کو_مسلمان_کہا_جائے_گا_اور_اس_کے_ساتھ_مسلمانوں_کا_سا_معاملہ_کیا_جائے_اس_کی_قلبی_کیفیات_اخلاص_یا_نفاق_سے_بحث_کرنے_کا_کسی_کو_حق_نہ_ہوگا
کیونکہ_سابقہ_تمام_انبیاء_پر_شہادت_دینے_کا_شرف_آپ_کو_حاصل_ہو_گا,کیونکہ_سابقہ_تمام_انبیاء_پر_شہادت_دینے_کا_شرف_آپ_کو_حاصل_ہوگا
اور_وہ_واقعہ_بھی_یاد_کرو_جب_ہم_نے_طور_پہاڑ_کو_تمہارے_اوپر_اٹھا_کر_تم_سے_اقرار_لیا_اور_حکم_دیا_تھا_کہ_جو_کتاب_تمہیں_دی_جا_رہی_ہے_اس_پر_مضبوطی_سے_عمل_پیرا_ہونا_اور_اس_کے_احکام_غور_سے_سننا_تو_تمہارے_اسلاف_کہنے_لگے_کہ_ہم_نے_یہ_حکم_سن_لیا_اور_دل_میں_کہا_ہم_مانیں_گے_نہیں_۱۱۰_ان_کے_اسی_کفر_کی_وجہ_سے_بچھڑے_کی_محبت_ان_کے_دلوں_میں_ڈال_دی_گئی_تھی_آپ_ان_سے_کہئے_کہ_اگر_تم_مومن_ہو_تو_تمہارا_یہ_۱۱۱_ایمان_تمہیں_کیسی_بری_باتوں_کا_حکم_دیتا_ہے,اور_وہ_واقعہ_بھی_یاد_کرو_جب_ہم_نے_طور_پہاڑ_کو_تمہارے_اوپر_اٹھا_کر_تم_سے_اقرار_لیا_اور_حکم_دیا_تھا_کہ_جو_کتاب_تمہیں_دی_جارہی_ہے_اس_پر_مضبوطی_سے_عمل_پیرا_ہونا_اور_اس_کے_احکام_غور_سے_سننا_تو_تمہارے_اسلاف_کہنے_لگے_کہ_ہم_نے_یہ_حکم_سن_لیا_اور_دل_میں_کہا_ہم_مانیں_گے_نہیں_۱۱۰_ان_کے_اسی_کفر_کی_وجہ_سے_بچھڑے_کی_محبت_ان_کے_دلوں_میں_ڈال_دی_گئی_تھی_آپ_ان_سے_کہئے_کہ_اگر_تم_مومن_ہو_تو_تمہارا_یہ_۱۱۱_ایمان_تمہیں_کیسی_بری_باتوں_کا_حکم_دیتا_ہے
اوپر_کے_بستروں_کا_کیا_حال_ہو_گا_تو_اس_کے_جواب_میں_سورۃ_الم_سجدہ_کی_یہ_آیت_سنادی_فلا_تعلم_نفس_ما_اخفی_لہم_من_قرۃ_اعین__کسی_نفس_کو_معلوم_نہیں_کہ_ان_کے_لیے_آنکھوں_کی_ٹھنڈک_میں_سے_کیا_کچھ_چھپایا_گیا_ہے_مطلب_یہ_تھا_کہ_اس_کے_بارے_میں_دیکھے_بغیر_کچھ_نہیں_کہا_جاسکتا,اوپر_کے_بستروں_کا_کیا_حال_ہوگا_تو_اس_کے_جواب_میں_سورۃ_الم_سجدہ_کی_یہ_آیت_سنادی_فلا_تعلم_نفس_ما_اخفی_لہم_من_قرۃ_اعین__کسی_نفس_کو_معلوم_نہیں_کہ_ان_کے_لیے_آنکھوں_کی_ٹھنڈک_میں_سے_کیا_کچھ_چھپایا_گیا_ہے_مطلب_یہ_تھا_کہ_اس_کے_بارے_میں_دیکھے_بغیر_کچھ_نہیں_کہا_جاسکتا
اس_کی_مشیت_اور_ارادہ_کے_مقابلہ_میں_کسی_کا_زور_نہیں_اور_جب_مسیح_اپنے_نفس_سے_اور_اپنی_ماں_سے_ہلاکت_اور_موت_کو_دور_نہیں_کرسکتے_تو_وہ_خدا_کیسے_ہو_سکتے_ہیں,اس_کی_مشیت_اور_ارادہ_کے_مقابلہ_میں_کسی_کا_زور_نہیں_اور_جب_مسیح_اپنے_نفس_سے_اور_اپنی_ماں_سے_ہلاکت_اور_موت_کو_دور_نہیں_کرسکتے_تو_وہ_خدا_کیسے_ہوسکتے_ہیں
rn_یہاں_قرآن_اس_بات_کی_تصریح_کرتا_ہے_اور_قطعیت_کے_ساتھ_تصریح_کرتا_ہے_کہ_عورت_کے_اس_ورغلانے_کے_عمل_اور_دروازے_بند_کرکے_حضرت_یوسف_کو_علانیہ_دعوت_گناہ_دینے_کو_حضرت_یوسف_نے_بغیر_تامل_کے_رد_کردیا_انہوں_نے_حدود_اللہ_کو_یاد_کیا_اللہ_کے_انعامات_کو_یاد_کیا_جبکہ_قرآن_نے_اس_کی_دعوت_گناہ_کو_بھی_غلیظ_الفاظ_کے_بجا_ئے_مہذب_الفاظ_میں_بیان_کیا_یعنی_ولقد_ہمت_بہ__وہم_بہا_لولآ_ان_را_برہان_ربہ__|_وہ_اس_کی_طرف_بڑھی_اور_یوسف_بھی_اس_کی_طرف_بڑھتا_اگر_اپنے_رب_کی_برہان_نہ_دیکھ_لیتا_|_rn_یہ_آخری_مرحلہ_تھا_اور_تمام_مفسرین_نے_اس_پر_طویل_کلام_کیا_ہے,rn_یہاں_قرآن_اس_بات_کی_تصریح_کرتا_ہے_اور_قطعیت_کے_ساتھ_تصریح_کرتا_ہے_کہ_عورت_کے_اس_ورغلانے_کے_عمل_اور_دروازے_بند_کرکے_حضرت_یوسف_کو_علانیہ_دعوت_گناہ_دینے_کو_حضرت_یوسف_نے_بغیر_تامل_کے_رد_کردیا_انہوں_نے_حدود_اللہ_کو_یاد_کیا_اللہ_کے_انعامات_کو_یاد_کیا_جبکہ_قرآن_نے_اس_کی_دعوت_گناہ_کو_بھی_غلیظ_الفاظ_کے_بجائے_مہذب_الفاظ_میں_بیان_کیا_یعنی_ولقد_ہمت_بہ__وہم_بہا_لولآ_ان_را_برہان_ربہ__|_وہ_اس_کی_طرف_بڑھی_اور_یوسف_بھی_اس_کی_طرف_بڑھتا_اگر_اپنے_رب_کی_برہان_نہ_دیکھ_لیتا_|_rn_یہ_آخری_مرحلہ_تھا_اور_تمام_مفسرین_نے_اس_پر_طویل_کلام_کیا_ہے
اس_کے_بارے_میں_حضرت_سعید_بن_جبیر_کا_قول_ہے_کہ_اس_سے_مکہ_مکرمہ_کے_رہنے_والے_مراد_ہیں_اور_حضرت_عطاء_نے_فرمایا_کہ_اس_سے_وہ_لوگ_مراد_ہیں_جو_دوسرے_شہروں_سے_آتے_ہیں_اور_مسجد_حرام_میں_قیام_کر_لیتے_ہیں_اور_حضرت_ابن_عباس_نے_فرمایا_کہ_ہم_جب_بھی_مسجد_حرام_میں_بیٹھ_گئے_تو_عاکفین_میں_شمار_ہوگئے_اور_اس_کے_عموم_میں_وہ_لوگ_بھی_داخل_ہیں_جو_مسجد_حرام_میں_اعتکاف_کریں_کیونکہ_لفظ_عکوف_ان_پر_بھی_صادق_آتا_ہے,اس_کے_بارے_میں_حضرت_سعید_بن_جبیر_کا_قول_ہے_کہ_اس_سے_مکہ_مکرمہ_کے_رہنے_والے_مراد_ہیں_اور_حضرت_عطاء_نے_فرمایا_کہ_اس_سے_وہ_لوگ_مراد_ہیں_جو_دوسرے_شہروں_سے_آتے_ہیں_اور_مسجد_حرام_میں_قیام_کرلیتے_ہیں_اور_حضرت_ابن_عباس_نے_فرمایا_کہ_ہم_جب_بھی_مسجد_حرام_میں_بیٹھ_گئے_تو_عاکفین_میں_شمار_ہوگئے_اور_اس_کے_عموم_میں_وہ_لوگ_بھی_داخل_ہیں_جو_مسجد_حرام_میں_اعتکاف_کریں_کیونکہ_لفظ_عکوف_ان_پر_بھی_صادق_آتا_ہے
دیکھو_جس_کے_دل_میں_رائی_کے_ایک_دانہ_کے_برابر_بھی_ایمان_ہو_اس_کو_جہنم_سے_نکال_لو_پس_وہ_لوگ_جہنم_میں_سے_اس_حال_میں_نکالے_جائیں_گے_کہ_ان_کا_جسم_جل_کر_کوئلہ_ہوچکا_ہو_گا,دیکھو_جس_کے_دل_میں_رائی_کے_ایک_دانہ_کے_برابر_بھی_ایمان_ہو_اس_کو_جہنم_سے_نکال_لو_پس_وہ_لوگ_جہنم_میں_سے_اس_حال_میں_نکالے_جائیں_گے_کہ_ان_کا_جسم_جل_کر_کوئلہ_ہوچکا_ہوگا
شفقت_و_محبت_پاکیزگی_عطا_کی_تھی_اور_وہ_پر_ہیز_گار_تھے,شفقت_و_محبت_پاکیزگی_عطا_کی_تھی_اور_وہ_پرہیز_گار_تھے
لکل_امرء_منھم_یومئذ_شأن_یغنیہ__ان_میں_سے_ہر_ایک_کو_اس_دن_ایک_ایسا_مشغلہ_ہو_گا_جو_اسے_مشغول_رکھنے_کیلیے_کافی_ہو_گا,لکل_امرء_منھم_یومئذ_شأن_یغنیہ__ان_میں_سے_ہر_ایک_کو_اس_دن_ایک_ایسا_مشغلہ_ہوگا_جو_اسے_مشغول_رکھنے_کیلیے_کافی_ہوگا
جس_غرض_سے_وہ_لوگ_اسے_سنتے_ہیں_ان_کی_نیتوں_سے_ہم_خوب_آگاہ_ہیں_جب_یہ_آپ_کی_طرف_کان_لگائے_ہوئے_ہوتے_ہیں_تب_بھی_اور_جب_مشورہ_کرتے_ہیں_تب_بھی_جب_کہ_یہ_ظالم_کہتے_ہیں_کہ_تم_اس_کی_تابعداری_میں_لگے_ہوئے_ہو_جن_پر_جادو_1_کر_دیا_گیا_ہے,جس_غرض_سے_وہ_لوگ_اسے_سنتے_ہیں_ان_کی_نیتوں_سے_ہم_خوب_آگاہ_ہیں_جب_یہ_آپ_کی_طرف_کان_لگائے_ہوئے_ہوتے_ہیں_تب_بھی_اور_جب_مشورہ_کرتے_ہیں_تب_بھی_جب_کہ_یہ_ظالم_کہتے_ہیں_کہ_تم_اس_کی_تابعداری_میں_لگے_ہوئے_ہو_جن_پر_جادو_1_کردیا_گیا_ہے
اللہ_تعالی_اس_کے_بدن_میں_اس_کا_بدل_ما_یتحلل_پیدا_کرتے_رہتے_ہیں_ورنہ_انسان_کے_بدن_کا_ایک_ایک_عضو_اگر_فولاد_کا_بھی_بنا_ہوتا_تو_ساٹھ_ستر_سال_کام_لینے_سے_کبھی_کا_گھس_گھسا_کر_برابر_ہو_جاتا_جس_طرح_اللہ_تعالی_انسان_کے_تمام_اعضاء_میں_جو_کچھ_محنت_سے_تحلیل_ہو_جاتا_ہے,اللہ_تعالی_اس_کے_بدن_میں_اس_کا_بدل_ما_یتحلل_پیدا_کرتے_رہتے_ہیں_ورنہ_انسان_کے_بدن_کا_ایک_ایک_عضو_اگر_فولاد_کا_بھی_بنا_ہوتا_تو_ساٹھ_ستر_سال_کام_لینے_سے_کبھی_کا_گھس_گھسا_کر_برابر_ہوجاتا_جس_طرح_اللہ_تعالی_انسان_کے_تمام_اعضاء_میں_جو_کچھ_محنت_سے_تحلیل_ہوجاتا_ہے
rn_ابن_ابی_حاتم_کی_روایت_میں_ہے_کہ_ان_میں_سے_پہلے__یعنی_مرارہ_کے_تخلف_کا_تو_سبب_یہ_ہوا_کہ_ان_کا_ایک_باغ_تھا_جس_کا_پھل_اس_وقت_پک_رہا_تھا_تو_انہوں_نے_اپنے_دل_میں_کہا_کہ_تم_نے_اس_سے_پہلے_سے_غزوات_میں_حصہ_لیا_ہے_اگر_اس_سال_جہاد_میں_نہ_جاؤ_تو_کیا_جرم_ہے_اس_کے_بعد_جب_انھیں_اپنے_گناہ_پر_تنبہ_ہوا_تو_انہوں_نے_اللہ_سے_عہد_کر_لیا_کر_یہ_باغ_میں_نے_اللہ_کی_راہ_میں_صدقہ_کردیا,rn_ابن_ابی_حاتم_کی_روایت_میں_ہے_کہ_ان_میں_سے_پہلے__یعنی_مرارہ_کے_تخلف_کا_تو_سبب_یہ_ہوا_کہ_ان_کا_ایک_باغ_تھا_جس_کا_پھل_اس_وقت_پک_رہا_تھا_تو_انہوں_نے_اپنے_دل_میں_کہا_کہ_تم_نے_اس_سے_پہلے_سے_غزوات_میں_حصہ_لیا_ہے_اگر_اس_سال_جہاد_میں_نہ_جاؤ_تو_کیا_جرم_ہے_اس_کے_بعد_جب_انھیں_اپنے_گناہ_پر_تنبہ_ہوا_تو_انہوں_نے_اللہ_سے_عہد_کرلیا_کر_یہ_باغ_میں_نے_اللہ_کی_راہ_میں_صدقہ_کردیا
34_نیک_اعمال_کا_ثواب_کچھ_تو_وہ_ہے_جس_کا_ذکر_قرآن_و_حدیث_میں_آ_گیا_ہے,34_نیک_اعمال_کا_ثواب_کچھ_تو_وہ_ہے_جس_کا_ذکر_قرآن_و_حدیث_میں_آگیا_ہے
ہم_اگرچہ_اس_کا_تصور_نہیں_کر_سکتے_لیکن_وہ_بلاشک_اور_لاریب_آنے_والا_ہے,ہم_اگرچہ_اس_کا_تصور_نہیں_کرسکتے_لیکن_وہ_بلاشک_اور_لاریب_آنے_والا_ہے
جو_لوگ_ایمان_لائے_ہیں_اور_جنہوں_نے_نیک_عمل_کیے_ہیں_ان_سے_اللہ_نے_وعدہ_کیا_ہے_کہ__آخرت_میں_ان_کو_مغفرت_اور_زبردست_ثواب_حاصل_ہو_گا,جو_لوگ_ایمان_لائے_ہیں_اور_جنہوں_نے_نیک_عمل_کیے_ہیں_ان_سے_اللہ_نے_وعدہ_کیا_ہے_کہ__آخرت_میں_ان_کو_مغفرت_اور_زبردست_ثواب_حاصل_ہوگا
وہ_بطور_مال_غنیمت_ضبط_کر_لیا_جائے_گا_اور_جو_لوگ_میدان_جنگ_میں_گرفتار_ہوں_گے,وہ_بطور_مال_غنیمت_ضبط_کرلیا_جائے_گا_اور_جو_لوگ_میدان_جنگ_میں_گرفتار_ہوں_گے
ساتھ_ہی_ان_کو_دھمکی_دی_کہ_انہوں_نے_یہ_روش_نہ_بدلی_تو_یہ_بھی_اسی_انجام_سے_دو_چار_ہوں_گے_جن_سے_ان_کی_ہم_مشرب_قومیں_دو_چار_ہو_چکی_ہیں,ساتھ_ہی_ان_کو_دھمکی_دی_کہ_انہوں_نے_یہ_روش_نہ_بدلی_تو_یہ_بھی_اسی_انجام_سے_دو_چار_ہوں_گے_جن_سے_ان_کی_ہم_مشرب_قومیں_دو_چار_ہوچکی_ہیں
ان_میں_باحیا_حوریں_ہوں_گی_جن_کو_ان_سے_پہلے_کسی_انسان_یا_جن_نے_ہاتھ_نہیں_لگایا_ہو_گا,ان_میں_باحیا_حوریں_ہوں_گی_جن_کو_ان_سے_پہلے_کسی_انسان_یا_جن_نے_ہاتھ_نہیں_لگایا_ہوگا
